id,flight_id,flight_pour_id,pour_no,flavour_id,note_id,flavour_density,flavour_point,created_at,updated_at,deleted_at
237,21,34,1,2,53,medium,"1.00",2025-02-19 03:03:00,2025-02-19 03:03:00,
238,21,34,1,3,74,heavy,"1.50",2025-02-19 03:03:00,2025-02-19 03:03:00,
239,21,34,1,7,305,medium,"1.00",2025-02-19 03:03:00,2025-02-19 03:03:00,
240,21,34,1,7,312,light,"0.50",2025-02-19 03:03:00,2025-02-19 03:03:00,
241,21,34,1,,483,heavy,"1.50",2025-02-19 03:03:00,2025-02-19 03:03:00,
242,21,35,2,2,11,light,"0.50",2025-02-19 03:03:00,2025-02-19 03:03:00,
243,21,35,2,9,422,medium,"1.00",2025-02-19 03:03:00,2025-02-19 03:03:00,
457,50,83,2,9,422,medium,"1.00",2025-02-26 01:57:04,2025-02-26 01:57:04,
459,50,85,4,5,206,medium,"1.00",2025-02-26 01:57:04,2025-02-26 01:57:04,
460,50,85,4,5,240,medium,"1.00",2025-02-26 01:57:04,2025-02-26 01:57:04,
461,50,85,4,9,432,light,"0.50",2025-02-26 01:57:04,2025-02-26 01:57:04,
462,50,85,4,9,452,medium,"1.00",2025-02-26 01:57:04,2025-02-26 01:57:04,
463,50,85,4,3,62,heavy,"1.50",2025-02-26 01:57:04,2025-02-26 01:57:04,
464,50,85,4,3,77,light,"0.50",2025-02-26 01:57:04,2025-02-26 01:57:04,
465,50,85,4,3,128,medium,"1.00",2025-02-26 01:57:04,2025-02-26 01:57:04,
466,50,85,4,4,149,medium,"1.00",2025-02-26 01:57:04,2025-02-26 01:57:04,
467,50,85,4,4,195,heavy,"1.50",2025-02-26 01:57:04,2025-02-26 01:57:04,
469,51,87,2,9,432,medium,"1.00",2025-02-27 05:45:35,2025-02-27 05:45:35,
470,51,88,3,5,216,heavy,"1.50",2025-02-27 05:45:35,2025-02-27 05:45:35,
471,51,89,4,4,155,medium,"1.00",2025-02-27 05:45:35,2025-02-27 05:45:35,
472,52,90,1,5,206,medium,"1.00",2025-02-27 05:50:04,2025-02-27 05:50:04,
473,52,90,1,5,215,medium,"1.00",2025-02-27 05:50:04,2025-02-27 05:50:04,
533,76,136,1,5,215,heavy,"1.50",2025-02-28 13:40:38,2025-02-28 13:40:38,
534,76,136,1,6,274,light,"0.50",2025-02-28 13:40:38,2025-02-28 13:40:38,
535,76,136,1,6,279,medium,"1.00",2025-02-28 13:40:38,2025-02-28 13:40:38,
536,76,136,1,6,294,medium,"1.00",2025-02-28 13:40:38,2025-02-28 13:40:38,
537,76,136,1,7,311,light,"0.50",2025-02-28 13:40:38,2025-02-28 13:40:38,
538,76,136,1,7,364,light,"0.50",2025-02-28 13:40:38,2025-02-28 13:40:38,
539,76,136,1,2,17,medium,"1.00",2025-02-28 13:40:38,2025-02-28 13:40:38,
540,76,136,1,2,49,light,"0.50",2025-02-28 13:40:38,2025-02-28 13:40:38,
541,76,136,1,2,53,light,"0.50",2025-02-28 13:40:38,2025-02-28 13:40:38,
542,76,136,1,3,107,medium,"1.00",2025-02-28 13:40:38,2025-02-28 13:40:38,
