id,user_id,flight_room_id,name,no_of_pour,type,sub_type,created_at,updated_at,deleted_at
1,10,,New flow 1,2,fully-blind,,2025-02-11 04:03:40,2025-02-11 04:03:40,
5,10,,Flight 3,2,fully-blind,,2025-02-14 01:00:14,2025-02-14 01:00:14,
21,10,,Ssss,4,fully-blind,,2025-02-19 03:03:00,2025-02-19 03:03:00,
50,10,,2nd headsup,4,heads-up,,2025-02-26 01:57:04,2025-02-26 01:57:04,
51,10,,1set semiblind,4,semi-blind,,2025-02-27 05:45:35,2025-02-27 05:45:35,
52,10,,2nd semibliend,2,semi-blind,,2025-02-27 05:50:04,2025-02-27 05:50:04,
76,8,,Valencia,1,heads-up,,2025-02-28 13:40:37,2025-02-28 13:40:37,
77,8,,KC Store Pick,1,heads-up,,2025-02-28 14:01:11,2025-02-28 14:01:11,
78,8,,Leopold Foeder,1,heads-up,,2025-02-28 14:24:53,2025-02-28 14:24:53,
79,8,,JD 12,1,heads-up,,2025-02-28 15:21:31,2025-02-28 15:21:31,
80,8,,Shenks,1,heads-up,,2025-02-28 15:59:43,2025-02-28 15:59:43,
81,8,,EHT SmB,1,heads-up,,2025-02-28 18:07:42,2025-02-28 18:07:42,
82,8,,Blind Turkey Berkey,1,fully-blind,,2025-02-28 18:33:09,2025-02-28 18:33:09,
83,8,,Bees knees,1,heads-up,,2025-02-28 18:46:23,2025-02-28 18:46:23,
84,8,,Weller full proof,1,heads-up,,2025-02-28 19:24:40,2025-02-28 19:24:40,
85,8,,Zach Is A Bitch,3,fully-blind,,2025-03-02 14:54:58,2025-03-02 14:54:58,
86,8,,Boulder ASM,1,fully-blind,,2025-03-02 16:30:55,2025-03-02 16:30:55,
88,8,,4 Roses,1,heads-up,,2025-03-05 19:14:45,2025-03-05 19:14:45,
89,8,,JD Rye,1,fully-blind,,2025-03-05 19:54:43,2025-03-05 19:54:43,
90,8,,Blanton's,1,heads-up,,2025-03-06 18:42:45,2025-03-06 18:42:45,
91,8,,Wt101,1,heads-up,,2025-03-07 14:26:03,2025-03-07 14:26:03,
92,8,,3 Chamber,1,heads-up,,2025-03-07 14:54:19,2025-03-07 14:54:19,
93,8,,EHT,1,heads-up,,2025-03-07 15:17:08,2025-03-07 15:17:08,
94,8,,Blanton's gold,1,heads-up,,2025-03-07 15:47:57,2025-03-07 15:47:57,
95,8,,JD TB Rye,1,heads-up,,2025-03-07 16:10:35,2025-03-07 16:10:35,
96,8,,OFKR,1,fully-blind,,2025-03-10 16:58:21,2025-03-10 16:58:21,
98,8,,Michter Blind Pour,1,fully-blind,,2025-03-13 21:55:19,2025-03-13 21:55:19,
99,8,,Elmer T Lee,1,heads-up,,2025-03-13 22:15:06,2025-03-13 22:15:06,
100,8,,Blanton's SFTB,1,heads-up,,2025-03-13 23:03:14,2025-03-13 23:03:14,
101,8,,1792 Full Proof,1,heads-up,,2025-03-14 01:37:05,2025-03-14 01:37:05,
102,8,,Valencia,1,heads-up,,2025-03-15 00:26:29,2025-03-15 00:26:29,
103,8,,Leopold 8 Yr,1,heads-up,,2025-03-15 01:16:07,2025-03-15 01:16:07,
115,8,,Kozuba Rye,1,heads-up,,2025-03-20 22:22:26,2025-03-20 22:22:26,
116,8,,OF Rye,1,heads-up,,2025-03-20 23:38:04,2025-03-20 23:38:04,
117,8,,Kickin Chicken,1,heads-up,,2025-03-21 00:21:39,2025-03-21 00:21:39,
118,8,,Russel's 14,1,heads-up,,2025-03-21 01:30:40,2025-03-21 01:30:40,
119,10,,test2,1,fully-blind,,2025-03-21 11:05:06,2025-03-21 11:05:06,
121,8,,Weller SR,1,heads-up,,2025-03-21 21:59:49,2025-03-21 21:59:49,
122,8,,Knob Creek SiB,1,heads-up,,2025-03-21 23:41:35,2025-03-21 23:41:35,
123,8,,Four roses,1,heads-up,,2025-03-22 00:01:27,2025-03-22 00:01:27,
124,8,,Horse and jockey,1,heads-up,,2025-03-22 00:33:22,2025-03-22 00:33:22,
125,8,,Michter's Toasted,1,heads-up,,2025-03-22 01:36:17,2025-03-22 01:36:17,
126,8,,Valencia,1,heads-up,,2025-03-23 00:57:57,2025-03-23 00:57:57,
127,8,,Blantons,1,heads-up,,2025-03-24 22:07:41,2025-03-24 22:07:41,
128,8,,Weller SR,1,heads-up,,2025-03-24 22:52:58,2025-03-24 22:52:58,
129,8,,Shenks,1,heads-up,,2025-03-24 23:16:16,2025-03-24 23:16:16,
131,8,,EC Toasted BP,1,heads-up,,2025-03-25 00:47:39,2025-03-25 00:47:39,
132,8,,Knob Creek BouRye,1,heads-up,,2025-03-26 21:30:25,2025-03-26 21:30:25,
133,8,,Four roses,1,heads-up,,2025-03-26 21:54:51,2025-03-26 21:54:51,
134,8,,Grain to glass,1,heads-up,,2025-03-26 22:27:33,2025-03-26 22:27:33,
135,8,,Ry3 cigar,1,heads-up,,2025-03-26 22:57:01,2025-03-26 22:57:01,
136,34,,Four Roses RH,1,heads-up,,2025-03-27 01:56:19,2025-03-27 01:56:19,
144,8,,Eagle Rare,1,heads-up,,2025-03-27 23:41:35,2025-03-27 23:41:35,
145,35,,Maiden voyage,1,heads-up,,2025-03-28 00:18:39,2025-03-28 00:18:39,
146,31,,Woodford Kentucky Derby,1,heads-up,,2025-03-28 01:11:28,2025-03-28 01:11:28,
147,8,,Blanton's Gold,1,heads-up,,2025-03-28 01:44:38,2025-03-28 01:44:38,
148,8,,Still,1,heads-up,,2025-03-28 01:53:07,2025-03-28 01:53:07,
149,8,,Michter's,1,heads-up,,2025-03-28 02:23:41,2025-03-28 02:23:41,
150,35,,JD SB Rye 138p,1,heads-up,,2025-03-28 03:43:17,2025-03-28 03:43:17,
151,37,,Port barrel finished,1,heads-up,,2025-03-28 22:57:53,2025-03-28 22:57:53,
152,8,,Four roses,1,heads-up,,2025-03-28 23:30:28,2025-03-28 23:30:28,
153,8,,KC SB,1,heads-up,,2025-03-28 23:53:59,2025-03-28 23:53:59,
154,8,,Jd10,1,heads-up,,2025-03-29 00:16:06,2025-03-29 00:16:06,
155,8,,JD 10,1,fully-blind,,2025-03-29 00:32:38,2025-03-29 00:32:38,
156,8,,Knob 10 Rue,1,heads-up,,2025-03-29 00:47:13,2025-03-29 00:47:13,
157,8,,Rio,1,heads-up,,2025-03-29 02:50:54,2025-03-29 02:50:54,
158,35,,Bulleit Bourbon single barrel 104p,1,heads-up,,2025-03-29 03:26:08,2025-03-29 03:26:08,
159,35,,Knob Creek single barrel select 120p,1,heads-up,,2025-03-29 05:01:42,2025-03-29 05:01:42,
160,35,,ECSBBP 123.8p,1,heads-up,,2025-03-30 01:36:40,2025-03-30 01:36:40,
161,35,,ECSBPB-8y 119.3p,1,heads-up,,2025-03-30 02:31:23,2025-03-30 02:31:23,
162,35,,Wild Turkey SB 101p,1,heads-up,,2025-03-30 04:12:13,2025-03-30 04:12:13,
163,8,,EHT,1,heads-up,,2025-03-30 22:49:03,2025-03-30 22:49:03,
164,8,,Hardins,1,heads-up,,2025-03-30 23:09:50,2025-03-30 23:09:50,
165,35,,Barrell batch #34 114.6p,1,heads-up,,2025-03-30 23:25:48,2025-03-30 23:25:48,
166,8,,John j,1,heads-up,,2025-03-30 23:42:18,2025-03-30 23:42:18,
167,8,,Ogd 114,1,heads-up,,2025-03-31 01:54:38,2025-03-31 01:54:38,
168,35,,Crown Royal De Luxe 80p,1,heads-up,,2025-03-31 03:43:02,2025-03-31 03:43:02,
169,35,,Barrell Bourbon Gray (5?) 100.58p,1,heads-up,,2025-04-01 02:51:03,2025-04-01 02:51:03,
170,35,,Laws Bonded Rye,1,heads-up,,2025-04-02 02:52:19,2025-04-02 02:52:19,
171,8,,Four,1,heads-up,,2025-04-02 22:22:42,2025-04-02 22:22:42,
172,8,,Full proof,1,heads-up,,2025-04-02 22:58:54,2025-04-02 22:58:54,
173,8,,Wfp,1,heads-up,,2025-04-02 23:30:45,2025-04-02 23:30:45,
174,8,,G2g,1,heads-up,,2025-04-03 00:27:30,2025-04-03 00:27:30,
175,8,,Shenk,1,heads-up,,2025-04-03 00:53:28,2025-04-03 00:53:28,
176,35,,Four Roses Small Batch Select 104p,1,heads-up,,2025-04-03 02:17:01,2025-04-03 02:17:01,
180,10,,Resss,1,fully-blind,,2025-04-03 10:20:20,2025-04-03 10:20:20,
185,10,,zzz,1,fully-blind,,2025-04-03 11:08:41,2025-04-03 11:08:41,
193,10,,Sdsd,2,fully-blind,,2025-04-03 14:06:20,2025-04-03 14:06:20,
196,10,,Reere,1,fully-blind,,2025-04-03 15:09:57,2025-04-03 15:09:57,
198,35,,Sagamore rye double oak 96.6p,1,heads-up,,2025-04-04 02:28:14,2025-04-04 02:28:14,
199,46,,Test,1,fully-blind,,2025-04-04 07:38:18,2025-04-04 07:38:18,
